Epoch: 1, lr: 7.98e-05 - train loss: 6.00 - valid loss: 5.20, valid error: 4.27e-01
Epoch: 2, lr: 3.14e-05 - train loss: 5.58 - valid loss: 5.08, valid error: 4.03e-01
Epoch: 3, lr: 2.24e-05 - train loss: 5.25 - valid loss: 4.74, valid error: 3.99e-01
Epoch: 4, lr: 3.19e-05 - train loss: 5.02 - valid loss: 4.67, valid error: 3.84e-01
Epoch: 5, lr: 1.25e-05 - train loss: 4.78 - valid loss: 4.62, valid error: 3.95e-01
Epoch: 6, lr: 1.59e-05 - train loss: 4.67 - valid loss: 4.34, valid error: 3.89e-01
Epoch: 7, lr: 1.41e-05 - train loss: 4.50 - valid loss: 4.42, valid error: 4.00e-01
Epoch: 8, lr: 1.01e-05 - train loss: 4.33 - valid loss: 4.35, valid error: 4.07e-01
Epoch: 9, lr: 1.22e-05 - train loss: 4.46 - valid loss: 4.20, valid error: 3.99e-01
Epoch: 10, lr: 1.07e-05 - train loss: 4.25 - valid loss: 4.11, valid error: 4.00e-01
Epoch: 11, lr: 1.04e-05 - train loss: 4.28 - valid loss: 4.05, valid error: 3.93e-01
Epoch: 12, lr: 1.07e-05 - train loss: 4.13 - valid loss: 4.06, valid error: 3.95e-01
Epoch: 13, lr: 1.01e-05 - train loss: 4.08 - valid loss: 4.07, valid error: 3.97e-01
Epoch: 14, lr: 1.02e-05 - train loss: 4.00 - valid loss: 3.99, valid error: 3.88e-01
Epoch: 15, lr: 1.01e-05 - train loss: 3.92 - valid loss: 4.02, valid error: 3.95e-01
Epoch: 16, lr: 1.00e-05 - train loss: 3.91 - valid loss: 3.91, valid error: 3.88e-01
Epoch: 17, lr: 1.01e-05 - train loss: 3.85 - valid loss: 3.90, valid error: 3.96e-01
Epoch: 18, lr: 1.00e-05 - train loss: 3.85 - valid loss: 3.68, valid error: 3.89e-01
Epoch: 19, lr: 1.00e-05 - train loss: 3.81 - valid loss: 3.89, valid error: 3.99e-01
Epoch: 20, lr: 1.00e-05 - train loss: 3.87 - valid loss: 3.71, valid error: 3.96e-01
Epoch: 21, lr: 1.00e-05 - train loss: 3.67 - valid loss: 3.63, valid error: 3.93e-01
Epoch: 22, lr: 1.00e-05 - train loss: 3.71 - valid loss: 3.63, valid error: 3.95e-01
Epoch: 23, lr: 1.00e-05 - train loss: 3.63 - valid loss: 3.58, valid error: 3.92e-01
Epoch: 24, lr: 1.00e-05 - train loss: 3.64 - valid loss: 3.57, valid error: 3.86e-01
Epoch: 25, lr: 1.00e-05 - train loss: 3.56 - valid loss: 3.70, valid error: 3.99e-01
Epoch loaded: 4 - test loss: 6.28, test error: 5.09e-01
Epoch: 26, lr: 7.98e-05 - train loss: 3.62 - valid loss: 3.35, valid error: 3.75e-01
Epoch: 27, lr: 3.14e-05 - train loss: 3.46 - valid loss: 3.41, valid error: 3.75e-01
Epoch: 28, lr: 2.24e-05 - train loss: 3.33 - valid loss: 3.50, valid error: 3.86e-01
Epoch: 29, lr: 3.19e-05 - train loss: 3.39 - valid loss: 3.35, valid error: 3.76e-01
Epoch: 30, lr: 1.25e-05 - train loss: 3.29 - valid loss: 3.44, valid error: 3.88e-01
Epoch: 31, lr: 1.59e-05 - train loss: 3.16 - valid loss: 3.30, valid error: 3.75e-01
Epoch: 32, lr: 1.41e-05 - train loss: 3.22 - valid loss: 3.31, valid error: 3.73e-01
